sample	AvgSpotLen	Bases
AAFC-Pcyc_16A_Pos2_Plot26_N_noP_2016-08	250	5206385250
AAFC-Pcyc_23B_Pos2_Plot73_noN_P_2016-11	250	3399576500
AAFC-Pcyc_23A_Pos2_Plot73_noN_P_2016-08	250	3861278250
AAFC-Pcyc_19A_Pos2_Plot38_N_P_2016-08	250	4844652500
AAFC-Pcyc_18B_Pos2_Plot28_noN_noP_2016-11	250	3333917000
AAFC-Pcyc_25A_Pos3_Plot18_noN_P_2016-08	250	3117010750
AAFC-Pcyc_17A_Pos2_Plot28_noN_P_2016-08	250	3709252750
AAFC-Pcyc_35A_Pos3_Plot73_noN_P_2016-08	250	3568630500
AAFC-Pcyc_03A_Pos1_Plot26_N_P_2016-08	250	4131394750
AAFC-Pcyc_02A_Pos1_Plot18_noN_noP_2016-08	250	3850800750
AAFC-Pcyc_09B_Pos1_Plot61_N_P_2016-11	250	4050319250
AAFC-Pcyc_29A_Pos3_Plot28_noN_P_2016-08	250	3339275750
AAFC-Pcyc_10B_Pos1_Plot61_N_noP_2016-11	250	4033528250
AAFC-Pcyc_25B_Pos3_Plot18_noN_P_2016-11	250	4528090250
AAFC-Pcyc_15B_Pos2_Plot26_N_P_2016-11	250	3401541250
AAFC-Pcyc_24B_Pos2_Plot73_noN_noP_2016-11	250	3684177000
AAFC-Pcyc_12A_Pos1_Plot73_noN_noP_2016-08	250	4110232250
AAFC-Pcyc_29B_Pos3_Plot28_noN_P_2016-11	250	3523194750
AAFC-Pcyc_16B_Pos2_Plot26_N_noP_2016-11	250	2163484750
AAFC-Pcyc_20B_Pos2_Plot38_N_noP_2016-11	250	3485888000
AAFC-Pcyc_31A_Pos3_Plot38_N_P_2016-08	250	4030431250
AAFC-Pcyc_22B_Pos2_Plot61_N_noP_2016-11	250	3854008500
AAFC-Pcyc_09A_Pos1_Plot61_N_P_2016-08	250	4095693250
AAFC-Pcyc_07A_Pos1_Plot38_N_P_2016-08	250	4743541250
AAFC-Pcyc_13B_Pos2_Plot18_noN_P_2016-11	250	3340389750
AAFC-Pcyc_01A_Pos1_Plot18_noN_P_2016-08	250	4655298500
AAFC-Pcyc_34B_Pos3_Plot61_N_noP_2016-11	250	4642458250
AAFC-Pcyc_34A_Pos3_Plot61_N_noP_2016-08	250	3864827250
AAFC-Pcyc_04A_Pos1_Plot26_N_noP_2016-08	250	4166976500
AAFC-Pcyc_32A_Pos3_Plot38_N_noP_2016-08	250	3486045750
AAFC-Pcyc_01B_Pos1_Plot18_noN_P_2016-11	250	2983875250
AAFC-Pcyc_02B_Pos1_Plot18_noN_noP_2016-11	250	3659038000
AAFC-Pcyc_08B_Pos1_Plot38_N_noP_2016-11	250	4178804750
AAFC-Pcyc_27A_Pos3_Plot26_N_P_2016-08	250	3588510000
AAFC-Pcyc_35B_Pos3_Plot73_noN_P_2016-11	250	3780414000
AAFC-Pcyc_36A_Pos3_Plot73_noN_noP_2016-08	250	3638734000
AAFC-Pcyc_14A_Pos2_Plot18_noN_noP_2016-08	250	4023207000
AAFC-Pcyc_17B_Pos2_Plot28_noN_P_2016-11	250	3797808000
AAFC-Pcyc_20A_Pos2_Plot38_N_noP_2016-08	250	4038588000
AAFC-Pcyc_10A_Pos1_Plot61_N_noP_2016-08	250	4815346000
AAFC-Pcyc_28A_Pos3_Plot26_N_noP_2016-08	250	3950625750
AAFC-Pcyc_27B_Pos3_Plot26_N_P_2016-11	250	3926164250
AAFC-Pcyc_18A_Pos2_Plot28_noN_noP_2016-08	250	4961764000
AAFC-Pcyc_30B_Pos3_Plot28_noN_noP_2016-11	250	4590330500
AAFC-Pcyc_11B_Pos1_Plot73_noN_P_2016-11	250	3664688750
AAFC-Pcyc_06B_Pos1_Plot28_noN_noP_2016-11	250	3775086000
AAFC-Pcyc_15A_Pos2_Plot26_N_P_2016-08	250	4492807000
AAFC-Pcyc_07B_Pos1_Plot38_N_P_2016-11	250	3952384500
AAFC-Pcyc_21B_Pos2_Plot61_N_P_2016-11	250	3350843500
AAFC-Pcyc_22A_Pos2_Plot61_N_noP_2016-08	250	4877998000
AAFC-Pcyc_12B_Pos1_Plot73_noN_noP_2016-11	250	3386684000
AAFC-Pcyc_05A_Pos1_Plot28_noN_P_2016-08	250	4003122000
AAFC-Pcyc_19B_Pos2_Plot38_N_P_2016-11	250	3869553750
AAFC-Pcyc_04B_Pos1_Plot26_N_noP_2016-11	250	3818879500
AAFC-Pcyc_30A_Pos3_Plot28_noN_noP_2016-08	250	3943541750
AAFC-Pcyc_26B_Pos3_Plot18_noN_noP_2016-11	250	4251548750
AAFC-Pcyc_14B_Pos2_Plot18_noN_noP_2016-11	250	3651337500
AAFC-Pcyc_24A_Pos2_Plot73_noN_noP_2016-08	250	3748119500
AAFC-Pcyc_36B_Pos3_Plot73_noN_noP_2016-11	250	3439763500
AAFC-Pcyc_26A_Pos3_Plot18_noN_noP_2016-08	250	3073425250
AAFC-Pcyc_28B_Pos3_Plot26_N_noP_2016-11	250	4195154250
AAFC-Pcyc_33A_Pos3_Plot61_N_P_2016-08	250	3102127750
AAFC-Pcyc_13A_Pos2_Plot18_noN_P_2016-08	250	4656919000
AAFC-Pcyc_33B_Pos3_Plot61_N_P_2016-11	250	3827579750
AAFC-Pcyc_11A_Pos1_Plot73_noN_P_2016-08	250	4276388750
AAFC-Pcyc_03B_Pos1_Plot26_N_P_2016-11	250	3663111000
AAFC-Pcyc_31B_Pos3_Plot38_N_P_2016-11	250	4094491000
AAFC-Pcyc_06A_Pos1_Plot28_noN_noP_2016-08	250	3853808250
AAFC-Pcyc_21A_Pos2_Plot61_N_P_2016-08	250	3938917750
AAFC-Pcyc_32B_Pos3_Plot38_N_noP_2016-11	250	4432639750
AAFC-Pcyc_08A_Pos1_Plot38_N_noP_2016-08	250	4204363750
AAFC-Pcyc_05B_Pos1_Plot28_noN_P_2016-11	250	3680887000